age,gender,nationality,current_city,travel_style,budget_level,preferred_region,preferred_cuisine,travel_with,transport_preference,accommodation_type,budget_avg,is_group,travel_intensity,city
33,female,other,Kairouan,relaxation,high,inland,indian,family,public,airbnb,322,1,low,Bizerte
37,male,arab,Djerba,nature,medium,coastal,tunisian,couple,car,hostel,170,0,medium,Tabarka
51,female,tunisian,Douz,nature,low,north,middle_eastern,friends,plane,airbnb,75,1,medium,Tabarka
63,female,african,Mahdia,nature,medium,north,american,solo,car,hotel,164,0,medium,Tabarka
54,female,arab,Mahdia,adventure,high,north,tunisian,family,public,hotel,238,1,high,Gabes
36,male,tunisian,Gabes,nature,high,north,european,family,car,hotel,377,1,medium,Bizerte
60,female,tunisian,Djerba,luxury,high,coastal,mediterranean,family,public,airbnb,215,1,high,Sousse
21,male,african,Kairouan,relaxation,medium,desert,indian,friends,public,resort,169,1,low,Douz
58,female,arab,Hammamet,relaxation,medium,inland,mediterranean,solo,plane,hostel,167,0,low,Tabarka
65,male,other,Tozeur,luxury,low,desert,asian,couple,public,hostel,85,0,high,Tozeur
48,male,tunisian,Kairouan,nature,low,desert,american,friends,plane,resort,75,1,medium,Tozeur
48,female,tunisian,Tozeur,party,high,desert,mediterranean,couple,plane,airbnb,291,0,high,Tozeur
67,male,tunisian,Djerba,luxury,medium,coastal,tunisian,family,plane,resort,141,1,high,Djerba
18,female,african,Tunis,party,high,south,middle_eastern,family,car,airbnb,303,1,high,Gabes
18,male,arab,Mahdia,nature,high,coastal,tunisian,friends,plane,hotel,304,1,medium,Bizerte
42,female,european,Djerba,adventure,low,desert,african,family,public,hostel,57,1,high,Tozeur
67,male,african,Hammamet,luxury,high,north,indian,friends,car,airbnb,320,1,high,Sousse
41,male,african,Kairouan,luxury,medium,south,european,couple,plane,hostel,156,0,high,Sfax
24,female,european,Mahdia,party,high,north,asian,family,car,resort,220,1,high,Bizerte
43,female,arab,Sousse,party,high,inland,asian,family,plane,hotel,338,1,high,Bizerte
39,female,european,Bizerte,party,medium,north,african,couple,car,resort,101,0,high,Douz
39,female,european,Bizerte,nature,medium,coastal,asian,family,plane,resort,117,1,medium,Bizerte
21,female,other,Tozeur,adventure,high,coastal,asian,couple,car,hotel,343,0,high,Djerba
35,female,african,Gabes,luxury,high,coastal,african,friends,plane,airbnb,279,1,high,Hammamet
52,female,european,Bizerte,nature,high,coastal,indian,solo,car,resort,366,0,medium,Tabarka
44,male,tunisian,Sfax,nature,high,north,american,solo,public,resort,367,0,medium,Bizerte
19,male,tunisian,Djerba,luxury,low,coastal,middle_eastern,family,car,resort,50,1,high,Sousse
39,female,other,Bizerte,nature,medium,inland,tunisian,family,car,hostel,115,1,medium,Bizerte
59,male,tunisian,Djerba,relaxation,high,desert,american,family,plane,hostel,379,1,low,Douz
35,female,other,Hammamet,cultural,high,north,american,solo,car,hotel,238,0,medium,Tunis
32,female,other,Tunis,party,low,inland,european,family,car,hostel,70,1,high,Tabarka
22,female,tunisian,Sfax,relaxation,high,coastal,tunisian,family,car,airbnb,393,1,low,Mahdia
46,male,other,Tunis,adventure,low,north,asian,family,car,airbnb,54,1,high,Tunis
43,male,african,Bizerte,party,low,inland,european,couple,plane,hotel,76,0,high,Tozeur
35,female,arab,Sfax,adventure,high,north,mediterranean,friends,plane,resort,338,1,high,Tabarka
58,male,african,Djerba,nature,medium,north,african,family,plane,resort,155,1,medium,Tabarka
36,male,arab,Hammamet,luxury,low,coastal,asian,solo,car,hotel,71,0,high,Hammamet
54,male,other,Tunis,relaxation,medium,desert,american,friends,car,hostel,109,1,low,Douz
38,male,tunisian,Douz,party,low,desert,indian,friends,public,hostel,65,1,high,Douz
55,female,european,Tunis,adventure,low,inland,mediterranean,solo,plane,resort,82,0,high,Kairouan
36,female,african,Djerba,luxury,high,inland,tunisian,solo,plane,hotel,381,0,high,Sfax
34,female,african,Kairouan,nature,high,south,european,friends,public,resort,333,1,medium,Tabarka
55,male,tunisian,Gabes,luxury,low,inland,middle_eastern,couple,car,resort,51,0,high,Djerba
54,female,tunisian,Gabes,cultural,low,coastal,european,couple,plane,airbnb,40,0,medium,Tunis
23,female,arab,Kairouan,cultural,low,coastal,middle_eastern,solo,car,hotel,41,0,medium,Tunis
59,female,european,Tabarka,party,high,coastal,european,friends,plane,resort,232,1,high,Hammamet
33,female,arab,Gabes,party,high,desert,asian,friends,car,resort,297,1,high,Tozeur
54,male,arab,Hammamet,luxury,medium,desert,european,friends,plane,airbnb,167,1,high,Douz
38,female,other,Sousse,nature,medium,desert,european,friends,plane,hostel,108,1,medium,Tozeur
64,male,african,Sousse,nature,low,desert,american,family,plane,resort,87,1,medium,Tozeur
31,male,other,Douz,party,low,coastal,mediterranean,friends,car,hostel,64,1,high,Sousse
20,female,european,Mahdia,luxury,low,desert,indian,friends,plane,hotel,82,1,high,Douz
27,female,european,Hammamet,cultural,medium,north,mediterranean,solo,car,hostel,130,0,medium,Kairouan
53,male,other,Djerba,luxury,medium,coastal,asian,friends,car,hostel,113,1,high,Djerba
34,male,other,Tabarka,party,medium,south,european,friends,car,airbnb,134,1,high,Gabes
36,male,african,Sfax,relaxation,low,coastal,asian,family,car,airbnb,79,1,low,Hammamet
29,male,african,Sfax,party,low,inland,european,couple,plane,airbnb,77,0,high,Gabes
41,female,tunisian,Hammamet,party,low,inland,asian,couple,public,hostel,83,0,high,Douz
69,female,tunisian,Gabes,cultural,low,south,african,friends,car,hostel,68,1,medium,Tunis
37,male,arab,Gabes,adventure,medium,coastal,european,friends,plane,airbnb,147,1,high,Hammamet
40,female,arab,Kairouan,cultural,high,south,african,couple,plane,airbnb,265,0,medium,Sfax
22,female,tunisian,Hammamet,party,low,north,asian,couple,plane,hotel,52,0,high,Sousse
59,female,african,Hammamet,luxury,medium,north,asian,couple,public,hotel,121,0,high,Sousse
38,male,other,Hammamet,nature,low,coastal,asian,solo,plane,resort,83,0,medium,Tabarka
51,male,european,Mahdia,nature,high,coastal,american,family,car,resort,230,1,medium,Tabarka
36,male,african,Tozeur,relaxation,low,south,asian,friends,car,resort,75,1,low,Gabes
19,female,african,Kairouan,party,medium,south,american,couple,car,hotel,104,0,high,Gabes
23,female,other,Bizerte,luxury,high,coastal,middle_eastern,couple,public,resort,318,0,high,Hammamet
20,female,african,Kairouan,nature,medium,south,asian,friends,car,hotel,165,1,medium,Tabarka
59,male,african,Mahdia,adventure,medium,coastal,mediterranean,friends,plane,resort,143,1,high,Djerba
34,female,european,Tabarka,relaxation,low,inland,asian,family,public,airbnb,80,1,low,Tunis
50,male,african,Djerba,nature,medium,desert,middle_eastern,friends,car,resort,179,1,medium,Tozeur
54,female,tunisian,Tozeur,relaxation,high,coastal,mediterranean,solo,plane,airbnb,317,0,low,Hammamet
59,female,other,Mahdia,nature,high,desert,american,solo,public,hostel,367,0,medium,Tozeur
65,male,european,Gabes,adventure,medium,desert,american,family,plane,airbnb,104,1,high,Tozeur
52,female,arab,Sousse,nature,low,coastal,mediterranean,friends,plane,resort,63,1,medium,Bizerte
39,male,other,Hammamet,luxury,high,desert,indian,couple,plane,resort,274,0,high,Douz
29,male,arab,Djerba,party,medium,north,tunisian,couple,car,airbnb,109,0,high,Bizerte
58,female,european,Kairouan,luxury,low,coastal,european,friends,car,hostel,63,1,high,Sousse
25,female,tunisian,Bizerte,cultural,low,south,european,family,public,resort,74,1,medium,Sfax
35,male,arab,Douz,luxury,high,coastal,asian,solo,car,hostel,377,0,high,Djerba
23,female,arab,Mahdia,cultural,medium,south,middle_eastern,friends,car,hostel,114,1,medium,Sfax
47,male,arab,Douz,cultural,low,south,african,friends,plane,airbnb,85,1,medium,Tunis
35,female,tunisian,Douz,relaxation,high,coastal,american,couple,car,hotel,372,0,low,Djerba
34,female,european,Tozeur,nature,low,south,middle_eastern,couple,car,hotel,79,0,medium,Bizerte
31,female,african,Sousse,adventure,low,desert,european,couple,plane,hotel,58,0,high,Tozeur
36,male,arab,Sousse,cultural,high,coastal,middle_eastern,friends,public,airbnb,242,1,medium,Sfax
60,female,african,Douz,adventure,medium,north,tunisian,family,plane,resort,125,1,high,Hammamet
44,female,european,Sfax,nature,low,south,indian,family,public,resort,55,1,medium,Bizerte
43,female,other,Gabes,cultural,low,desert,asian,solo,car,airbnb,68,0,medium,Douz
55,female,african,Hammamet,cultural,medium,inland,indian,friends,public,hostel,174,1,medium,Sfax
41,female,other,Djerba,relaxation,medium,north,tunisian,friends,car,resort,164,1,low,Bizerte
32,male,african,Hammamet,adventure,high,desert,african,family,plane,resort,325,1,high,Douz
31,male,other,Gabes,adventure,medium,north,middle_eastern,friends,car,resort,142,1,high,Hammamet
68,female,tunisian,Douz,relaxation,high,inland,mediterranean,solo,car,airbnb,336,0,low,Bizerte
51,female,tunisian,Kairouan,relaxation,high,inland,middle_eastern,solo,plane,airbnb,332,0,low,Mahdia
22,male,european,Mahdia,nature,low,south,mediterranean,friends,car,hostel,82,1,medium,Tabarka
57,female,arab,Tozeur,party,high,desert,american,couple,plane,resort,205,0,high,Tozeur
30,female,european,Sousse,nature,medium,desert,african,solo,plane,airbnb,101,0,medium,Tozeur
31,male,tunisian,Tozeur,adventure,medium,coastal,tunisian,solo,public,airbnb,154,0,high,Hammamet
28,female,european,Kairouan,adventure,high,inland,middle_eastern,couple,car,hostel,350,0,high,Sfax
42,male,african,Kairouan,nature,medium,north,european,solo,public,hotel,178,0,medium,Tabarka
45,female,african,Kairouan,cultural,high,south,european,solo,public,airbnb,309,0,medium,Kairouan
66,male,tunisian,Hammamet,cultural,medium,inland,indian,solo,public,hotel,102,0,medium,Tunis
19,male,arab,Sfax,adventure,low,north,asian,solo,public,hotel,69,0,high,Hammamet
41,female,arab,Tozeur,nature,high,south,american,family,public,airbnb,338,1,medium,Tabarka
21,male,other,Tabarka,luxury,medium,coastal,asian,family,plane,hostel,117,1,high,Mahdia
58,female,arab,Tozeur,luxury,medium,coastal,tunisian,solo,car,resort,147,0,high,Mahdia
25,female,european,Mahdia,relaxation,medium,north,american,family,car,hostel,156,1,low,Hammamet
32,female,other,Djerba,party,medium,north,middle_eastern,friends,car,hotel,126,1,high,Hammamet
24,male,other,Djerba,cultural,low,desert,american,family,plane,hotel,80,1,medium,Tozeur
22,male,african,Tabarka,adventure,high,north,asian,friends,public,hostel,286,1,high,Gabes
43,male,european,Tozeur,nature,low,north,middle_eastern,family,public,resort,53,1,medium,Bizerte
43,female,african,Tabarka,luxury,low,inland,tunisian,couple,plane,hotel,53,0,high,Kairouan
63,female,african,Djerba,cultural,medium,north,tunisian,solo,public,resort,150,0,medium,Kairouan
40,male,tunisian,Mahdia,relaxation,high,desert,mediterranean,friends,car,hotel,200,1,low,Tozeur
33,male,african,Tunis,relaxation,medium,north,african,solo,plane,resort,100,0,low,Djerba
68,female,european,Douz,party,high,desert,indian,family,plane,resort,301,1,high,Tozeur
23,male,tunisian,Djerba,nature,high,south,american,couple,plane,resort,217,0,medium,Tabarka
57,male,african,Gabes,cultural,low,north,tunisian,couple,plane,hostel,75,0,medium,Tunis
49,male,other,Gabes,cultural,medium,desert,european,family,public,resort,120,1,medium,Douz
46,female,tunisian,Sfax,cultural,medium,south,mediterranean,friends,car,airbnb,109,1,medium,Sfax
40,male,other,Sousse,nature,high,coastal,indian,solo,car,airbnb,383,0,medium,Tabarka
66,male,arab,Mahdia,adventure,low,south,asian,family,public,hostel,51,1,high,Gabes
19,female,arab,Tozeur,party,high,inland,american,family,public,hostel,217,1,high,Sfax
21,male,arab,Djerba,adventure,low,inland,asian,solo,car,hostel,50,0,high,Kairouan
68,female,european,Tozeur,nature,medium,desert,american,family,plane,resort,172,1,medium,Tozeur
21,female,arab,Gabes,adventure,low,coastal,middle_eastern,family,public,resort,41,1,high,Sousse
62,male,european,Sousse,adventure,low,inland,mediterranean,solo,car,hostel,88,0,high,Hammamet
36,male,tunisian,Kairouan,nature,low,inland,african,solo,plane,resort,61,0,medium,Tabarka
58,male,other,Sousse,luxury,low,south,middle_eastern,couple,car,hostel,70,0,high,Gabes
60,male,tunisian,Hammamet,cultural,high,desert,indian,solo,car,hostel,368,0,medium,Tozeur
64,female,tunisian,Kairouan,luxury,low,coastal,middle_eastern,solo,public,hostel,84,0,high,Sousse
39,female,african,Sfax,luxury,high,south,european,family,public,hostel,387,1,high,Gabes
40,female,european,Djerba,party,high,north,asian,family,car,hotel,379,1,high,Djerba
65,male,arab,Kairouan,cultural,high,coastal,european,family,public,hostel,375,1,medium,Kairouan
53,female,other,Mahdia,luxury,low,desert,middle_eastern,solo,plane,hostel,51,0,high,Tozeur
29,male,tunisian,Hammamet,nature,high,coastal,tunisian,solo,public,hostel,221,0,medium,Tabarka
37,male,european,Sfax,nature,medium,north,european,friends,public,airbnb,180,1,medium,Tabarka
19,male,other,Tozeur,cultural,medium,south,african,friends,car,resort,167,1,medium,Tunis
63,female,arab,Mahdia,cultural,high,north,tunisian,family,plane,airbnb,227,1,medium,Sfax
55,male,arab,Douz,adventure,high,coastal,european,couple,public,resort,353,0,high,Sousse
67,male,arab,Sousse,luxury,low,inland,american,friends,car,hostel,84,1,high,Kairouan
26,female,other,Hammamet,party,high,desert,african,solo,plane,hotel,244,0,high,Tozeur
29,female,other,Sfax,party,medium,coastal,indian,family,car,airbnb,143,1,high,Sousse
48,female,arab,Djerba,luxury,low,north,african,friends,car,resort,49,1,high,Hammamet
51,female,arab,Mahdia,cultural,low,coastal,african,friends,car,resort,58,1,medium,Kairouan
26,male,african,Mahdia,party,high,north,middle_eastern,family,public,hotel,220,1,high,Tabarka
31,male,european,Hammamet,nature,low,north,tunisian,solo,public,resort,75,0,medium,Tabarka
37,male,tunisian,Tunis,adventure,low,desert,asian,family,car,airbnb,76,1,high,Douz
42,female,other,Mahdia,nature,high,coastal,european,family,public,hotel,374,1,medium,Tabarka
33,male,tunisian,Bizerte,relaxation,medium,coastal,asian,solo,plane,hotel,153,0,low,Djerba
29,female,arab,Hammamet,relaxation,low,south,indian,solo,car,hostel,49,0,low,Gabes
33,male,european,Sfax,nature,low,desert,african,couple,car,hotel,46,0,medium,Tozeur
42,female,tunisian,Sousse,party,high,coastal,american,family,public,hotel,258,1,high,Sousse
53,male,arab,Douz,party,low,north,american,family,public,hotel,44,1,high,Kairouan
59,female,other,Kairouan,luxury,medium,south,european,family,car,resort,162,1,high,Sfax
60,female,european,Gabes,party,low,south,middle_eastern,couple,plane,resort,47,0,high,Sfax
18,male,tunisian,Mahdia,relaxation,high,north,asian,couple,car,hostel,359,0,low,Mahdia
53,male,european,Mahdia,party,high,north,asian,solo,car,hostel,381,0,high,Hammamet
50,male,european,Hammamet,cultural,low,north,asian,solo,public,airbnb,84,0,medium,Tunis
20,male,arab,Mahdia,luxury,low,desert,tunisian,couple,public,hotel,49,0,high,Douz
21,male,african,Sousse,luxury,medium,south,american,friends,plane,hotel,147,1,high,Gabes
26,male,european,Tunis,adventure,low,desert,middle_eastern,couple,plane,hostel,70,0,high,Tozeur
43,male,tunisian,Hammamet,cultural,low,north,asian,family,plane,hotel,67,1,medium,Kairouan
39,male,african,Tabarka,relaxation,medium,coastal,african,couple,public,hostel,135,0,low,Sousse
46,female,tunisian,Sfax,luxury,medium,coastal,american,couple,plane,hostel,152,0,high,Djerba
25,male,european,Sousse,relaxation,high,north,african,family,plane,airbnb,299,1,low,Sousse
51,male,african,Djerba,adventure,medium,south,american,couple,public,hostel,140,0,high,Sfax
57,male,european,Tabarka,party,medium,south,african,solo,car,hostel,100,0,high,Gabes
60,female,arab,Tunis,relaxation,high,coastal,american,family,plane,hostel,383,1,low,Hammamet
60,female,other,Tunis,cultural,high,coastal,mediterranean,friends,public,airbnb,394,1,medium,Sfax
39,male,european,Hammamet,adventure,low,coastal,american,solo,public,hostel,45,0,high,Mahdia
47,female,arab,Gabes,nature,low,south,mediterranean,couple,plane,resort,56,0,medium,Bizerte
37,female,african,Kairouan,cultural,high,coastal,asian,friends,public,hostel,231,1,medium,Tunis
61,male,arab,Tozeur,adventure,medium,inland,mediterranean,friends,plane,hotel,140,1,high,Bizerte
69,male,tunisian,Mahdia,adventure,low,south,african,family,plane,hostel,77,1,high,Gabes
20,female,tunisian,Gabes,luxury,low,desert,middle_eastern,family,car,hotel,73,1,high,Tozeur
19,female,arab,Hammamet,relaxation,low,south,asian,friends,public,resort,42,1,low,Gabes
63,female,other,Tabarka,adventure,medium,coastal,american,couple,public,hostel,166,0,high,Djerba
41,female,african,Mahdia,party,low,north,african,friends,public,hostel,53,1,high,Bizerte
68,female,african,Mahdia,party,low,inland,asian,solo,plane,hostel,56,0,high,Mahdia
38,male,african,Bizerte,party,medium,south,indian,family,plane,airbnb,126,1,high,Sfax
31,male,african,Gabes,luxury,high,desert,mediterranean,friends,public,airbnb,279,1,high,Douz
46,male,european,Tabarka,cultural,medium,south,american,couple,car,hotel,123,0,medium,Kairouan
69,female,tunisian,Mahdia,adventure,low,coastal,african,solo,public,airbnb,87,0,high,Sfax
62,male,tunisian,Bizerte,cultural,medium,south,african,solo,plane,hotel,171,0,medium,Tunis
31,female,african,Hammamet,relaxation,low,inland,indian,couple,car,airbnb,65,0,low,Sfax
48,male,arab,Djerba,adventure,high,coastal,african,family,car,hostel,304,1,high,Sousse
68,male,other,Gabes,luxury,low,north,indian,couple,public,airbnb,56,0,high,Sfax
64,female,tunisian,Gabes,relaxation,low,coastal,african,couple,plane,resort,68,0,low,Hammamet
57,male,other,Djerba,cultural,high,inland,indian,friends,car,hotel,349,1,medium,Sfax
19,male,european,Sfax,relaxation,low,coastal,tunisian,family,public,hotel,40,1,low,Hammamet
27,male,other,Tabarka,cultural,high,inland,european,family,public,hostel,396,1,medium,Tunis
50,male,arab,Sfax,cultural,medium,south,mediterranean,solo,car,hostel,147,0,medium,Sfax
21,male,tunisian,Kairouan,adventure,low,coastal,american,couple,plane,hotel,48,0,high,Djerba
54,female,tunisian,Tabarka,relaxation,high,coastal,mediterranean,family,public,airbnb,206,1,low,Mahdia
49,female,european,Sousse,party,high,north,asian,solo,car,airbnb,204,0,high,Douz
53,female,other,Hammamet,party,medium,south,indian,friends,public,hotel,102,1,high,Sfax
20,female,arab,Mahdia,relaxation,low,coastal,tunisian,friends,plane,hotel,41,1,low,Djerba
48,female,african,Tabarka,relaxation,high,north,african,solo,car,hotel,400,0,low,Sfax
30,female,tunisian,Tunis,nature,medium,north,mediterranean,couple,plane,hotel,157,0,medium,Tabarka
40,female,european,Djerba,luxury,high,south,mediterranean,friends,car,hotel,242,1,high,Sfax
20,male,tunisian,Sousse,adventure,low,inland,african,solo,car,airbnb,90,0,high,Tozeur
51,female,arab,Hammamet,party,low,desert,indian,solo,car,hostel,80,0,high,Tozeur
61,female,african,Douz,luxury,high,desert,american,solo,public,airbnb,252,0,high,Tozeur
47,female,tunisian,Mahdia,nature,medium,north,american,solo,car,airbnb,159,0,medium,Tabarka
30,male,tunisian,Tunis,nature,medium,south,asian,family,plane,resort,118,1,medium,Bizerte
39,female,other,Kairouan,relaxation,low,inland,mediterranean,family,car,resort,49,1,low,Hammamet
36,female,african,Sfax,relaxation,high,south,indian,couple,public,airbnb,350,0,low,Sfax
51,male,african,Sfax,nature,low,south,american,couple,plane,airbnb,77,0,medium,Bizerte
19,female,african,Gabes,party,high,inland,mediterranean,couple,car,airbnb,242,0,high,Gabes
25,male,arab,Tunis,relaxation,high,south,african,friends,plane,airbnb,391,1,low,Sfax
47,male,other,Sousse,nature,low,inland,european,friends,car,airbnb,65,1,medium,Tabarka
43,male,other,Djerba,relaxation,high,inland,african,couple,public,airbnb,211,0,low,Sfax
18,female,other,Hammamet,luxury,low,north,mediterranean,family,car,airbnb,68,1,high,Sousse
68,female,other,Bizerte,nature,high,inland,tunisian,couple,plane,resort,316,0,medium,Tabarka
39,female,other,Sfax,relaxation,medium,desert,tunisian,couple,public,hotel,106,0,low,Douz
58,female,other,Bizerte,luxury,low,north,american,friends,public,hostel,44,1,high,Sousse
46,male,african,Mahdia,cultural,medium,inland,american,family,public,hostel,162,1,medium,Kairouan
40,female,other,Sousse,nature,medium,inland,tunisian,family,public,hotel,177,1,medium,Bizerte
51,male,african,Douz,cultural,low,coastal,indian,couple,public,hotel,67,0,medium,Kairouan
28,female,tunisian,Bizerte,relaxation,medium,north,european,friends,plane,hostel,176,1,low,Douz
23,male,arab,Sousse,adventure,high,inland,african,solo,public,resort,335,0,high,Mahdia
45,male,other,Djerba,cultural,low,south,asian,family,public,hostel,41,1,medium,Kairouan
49,male,arab,Tabarka,luxury,medium,desert,tunisian,couple,plane,airbnb,155,0,high,Douz
33,male,european,Douz,nature,high,north,middle_eastern,couple,car,hostel,388,0,medium,Tabarka
39,male,european,Tabarka,nature,high,coastal,european,solo,public,hostel,399,0,medium,Bizerte
